sbn203_nombre;Sexo;Provincia;Canton;Distrito;IsGrandTotalRowTotal;Sumsnb204_monto;DistinctCountsnb003_id_persona
"";"";"";"";"";True;146067459372,36005;235741
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Hombre";"PUNTARENAS";"BUENOS AIRES";"BUENOS AIRES";False;746400;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Hombre";"PUNTARENAS";"BUENOS AIRES";"POTRERO GRANDE";False;622000;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Hombre";"PUNTARENAS";"CORREDORES";"CORREDOR";False;559800;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Hombre";"PUNTARENAS";"COTO BRUS";"PITTIER";False;186600;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Hombre";"PUNTARENAS";"COTO BRUS";"SABALITO";False;622000;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Hombre";"PUNTARENAS";"GARABITO";"TARCOLES";False;81000;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Hombre";"PUNTARENAS";"PUNTARENAS";"CHIRA";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"ALAJUELA";"DESAMPARADOS";False;248800;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"ALAJUELA";"SAN ISIDRO";False;435400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"GUATUSO";"BUENAVISTA";False;248800;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"GUATUSO";"SAN RAFAEL";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"LOS CHILES";"CAÑO NEGRO";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"LOS CHILES";"LOS CHILES";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"NARANJO";"CIRRI SUR";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"NARANJO";"ROSARIO";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"OROTINA";"COYOLAR";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"PALMARES";"BUENOS AIRES";False;435400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"PALMARES";"CANDELARIA";False;559800;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"PALMARES";"ESQUIPULAS";False;2052600;3
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"PALMARES";"GRANJA";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"PALMARES";"SANTIAGO";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"PALMARES";"ZARAGOZA";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"SAN CARLOS";"FLORENCIA";False;1492800;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"SAN CARLOS";"MONTERREY";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"SAN CARLOS";"PITAL";False;2239200;3
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"SAN CARLOS";"QUESADA";False;684200;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"SAN MATEO";"LABRADOR";False;435400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"SAN RAMON";"ANGELES";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"SAN RAMON";"SAN JUAN";False;933000;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"SAN RAMON";"SAN RAMON";False;1181800;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"SAN RAMON";"VOLIO";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"UPALA";"CANALETE";False;808600;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"UPALA";"DELICIAS";False;186600;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"UPALA";"DOS RIOS";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"UPALA";"UPALA";False;933000;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"UPALA";"YOYILLAL";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"ALAJUELA";"VALVERDE VEGA";"RODRIGUEZ";False;684200;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"CARTAGO";"CARTAGO";"SAN FRANCISCO";False;186600;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"CARTAGO";"CARTAGO";"SAN NICOLAS";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"CARTAGO";"EL GUARCO";"TEJAR";False;186600;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"CARTAGO";"JIMENEZ";"PEJIBAYE";False;1492800;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"CARTAGO";"LA UNION";"DULCE NOMBRE";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"CARTAGO";"LA UNION";"SAN DIEGO";False;0;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"CARTAGO";"PARAISO";"OROSI";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"CARTAGO";"PARAISO";"PARAISO";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"CARTAGO";"TURRIALBA";"CHIRRIPO";False;1492800;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"CARTAGO";"TURRIALBA";"PAVONES";False;497600;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"CARTAGO";"TURRIALBA";"TURRIALBA";False;1866000;3
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"GUANACASTE";"BAGACES";"BAGACES";False;1492800;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"GUANACASTE";"CAÑAS";"CAÑAS";False;2674600;5
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"GUANACASTE";"CARRILLO";"SARDINAL";False;1492800;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"GUANACASTE";"LA CRUZ";"LA GARITA";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"GUANACASTE";"NICOYA";"SAN ANTONIO";False;870800;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"HEREDIA";"BARVA";"SAN JOSE DE LA MONTAÑA";False;186600;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"HEREDIA";"BARVA";"SAN PEDRO";False;435400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"HEREDIA";"FLORES";"LLORENTE";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"HEREDIA";"HEREDIA";"SAN FRANCISCO";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"HEREDIA";"HEREDIA";"ULLOA";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"HEREDIA";"SANTO DOMINGO";"PARACITO";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"HEREDIA";"SARAPIQUI";"HORQUETAS";False;2177000;3
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"HEREDIA";"SARAPIQUI";"LA VIRGEN";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"HEREDIA";"SARAPIQUI";"PUERTO VIEJO";False;1492800;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"LIMON";"GUACIMO";"GUACIMO";False;5722400;8
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"LIMON";"GUACIMO";"POCORA";False;2923400;4
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"LIMON";"GUACIMO";"RIO JIMENEZ";False;2052600;3
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"LIMON";"LIMON";"LIMON";False;2363600;5
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"LIMON";"LIMON";"RIO BLANCO";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"LIMON";"LIMON";"VALLE LA ESTRELLA";False;4118200;7
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"LIMON";"MATINA";"BATAN";False;2052600;3
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"LIMON";"MATINA";"MATINA";False;1430600;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"LIMON";"POCOCI";"CARIARI";False;13995000;21
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"LIMON";"POCOCI";"COLORADO";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"LIMON";"POCOCI";"GUAPILES";False;4727200;7
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Mujer";"LIMON";"POCOCI";"JIMENEZ";False;3483200;5
