sbn203_nombre;Provincia;Rango Edad;Canton;Distrito;IsGrandTotalRowTotal;Sumsnb204_monto;DistinctCountsnb003_id_persona
"";"";"";"";"";True;146067459372,36002;235741
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"ALAJUELA";"DESAMPARADOS";False;248800;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"ALAJUELA";"SAN ISIDRO";False;435400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"GUATUSO";"BUENAVISTA";False;248800;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"GUATUSO";"SAN RAFAEL";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"LOS CHILES";"CAÑO NEGRO";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"LOS CHILES";"LOS CHILES";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"NARANJO";"CIRRI SUR";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"NARANJO";"ROSARIO";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"OROTINA";"COYOLAR";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"PALMARES";"BUENOS AIRES";False;435400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"PALMARES";"CANDELARIA";False;559800;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"PALMARES";"ESQUIPULAS";False;2052600;3
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"PALMARES";"GRANJA";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"PALMARES";"SANTIAGO";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"PALMARES";"ZARAGOZA";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"SAN CARLOS";"FLORENCIA";False;1492800;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"SAN CARLOS";"MONTERREY";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"SAN CARLOS";"PITAL";False;2239200;3
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"SAN CARLOS";"QUESADA";False;684200;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"SAN MATEO";"LABRADOR";False;435400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"SAN RAMON";"ANGELES";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"SAN RAMON";"SAN JUAN";False;933000;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"SAN RAMON";"SAN RAMON";False;1181800;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"SAN RAMON";"VOLIO";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"UPALA";"CANALETE";False;808600;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"UPALA";"DELICIAS";False;186600;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"UPALA";"DOS RIOS";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"UPALA";"UPALA";False;933000;2
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"UPALA";"YOYILLAL";False;746400;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"18-64años Adulto";"VALVERDE VEGA";"RODRIGUEZ";False;684200;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"CARTAGO";"18-64años Adulto";"CARTAGO";"SAN FRANCISCO";False;186600;1
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"CARTAGO";"18-64años Adulto";"CARTAGO";"SAN NICOLAS";False;746400;1
