sbn203_nombre;Provincia;Canton;Distrito;snb001_estadoFisVivienda;IsGrandTotalRowTotal;DistinctCountsnb003_id_persona;Sumsnb204_monto
"";"";"";"";"";True;235741;146067459372,36002
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"ALAJUELA";"DESAMPARADOS";"Regular";False;1;248800
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"ALAJUELA";"SAN ISIDRO";"Regular";False;1;435400
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"GUATUSO";"BUENAVISTA";"Malo";False;1;248800
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"GUATUSO";"SAN RAFAEL";"Bueno";False;1;746400
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"LOS CHILES";"CAÑO NEGRO";"Malo";False;1;746400
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"LOS CHILES";"LOS CHILES";"Bueno";False;1;746400
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"NARANJO";"CIRRI SUR";"Regular";False;1;746400
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"NARANJO";"ROSARIO";"Regular";False;1;746400
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"OROTINA";"COYOLAR";"Bueno";False;1;746400
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"PALMARES";"BUENOS AIRES";"Bueno";False;1;435400
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"PALMARES";"CANDELARIA";"Regular";False;1;559800
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"PALMARES";"ESQUIPULAS";"Regular";False;3;2052600
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"PALMARES";"GRANJA";"Regular";False;1;746400
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"PALMARES";"SANTIAGO";"Malo";False;1;746400
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"PALMARES";"ZARAGOZA";"Regular";False;1;746400
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"SAN CARLOS";"FLORENCIA";"Bueno";False;2;1492800
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"SAN CARLOS";"MONTERREY";"Bueno";False;1;746400
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"SAN CARLOS";"PITAL";"Regular";False;3;2239200
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"SAN CARLOS";"QUESADA";"Malo";False;1;684200
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"SAN MATEO";"LABRADOR";"Bueno";False;1;435400
"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"ALAJUELA";"SAN RAMON";"ANGELES";"Regular";False;1;746400
