Provincia;sbn203_nombre;Condición de Actividad;Canton;Distrito;IsGrandTotalRowTotal;DistinctCountsnb003_id_persona;Sumsnb204_monto
"";"";"";"";"";True;235741;146067459372,36005
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Desconocido";"NARANJO";"ROSARIO";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Desconocido";"PALMARES";"BUENOS AIRES";False;1;435400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Desconocido";"SAN CARLOS";"FLORENCIA";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Desconocido";"SAN CARLOS";"MONTERREY";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Desconocido";"SAN CARLOS";"QUESADA";False;1;684200
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Desconocido";"SAN RAMON";"ANGELES";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Desconocido";"UPALA";"CANALETE";False;1;808600
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Desconocido";"UPALA";"DOS RIOS";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Desconocido";"UPALA";"UPALA";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Desempleo";"GUATUSO";"SAN RAFAEL";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Desempleo";"SAN RAMON";"SAN JUAN";False;1;186600
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Desempleo";"SAN RAMON";"SAN RAMON";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Estudiante";"PALMARES";"ESQUIPULAS";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Estudiante";"PALMARES";"GRANJA";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Estudiante";"SAN CARLOS";"PITAL";False;3;2239200
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Estudiante";"SAN MATEO";"LABRADOR";False;1;435400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Persona pensionada";"ALAJUELA";"SAN ISIDRO";False;1;435400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Persona pensionada";"PALMARES";"CANDELARIA";False;1;559800
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Persona pensionada";"SAN RAMON";"VOLIO";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Tiempo completo";"SAN CARLOS";"FLORENCIA";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Tiempo completo";"UPALA";"DELICIAS";False;1;186600
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Tiempo completo";"VALVERDE VEGA";"RODRIGUEZ";False;1;684200
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Tiempo parcial";"LOS CHILES";"LOS CHILES";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Tiempo parcial";"NARANJO";"CIRRI SUR";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Tiempo parcial";"OROTINA";"COYOLAR";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Tiempo parcial";"SAN RAMON";"SAN JUAN";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Tiempo parcial";"SAN RAMON";"SAN RAMON";False;1;435400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Tiempo parcial";"UPALA";"UPALA";False;1;186600
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Trabajo doméstico no remunerado";"ALAJUELA";"DESAMPARADOS";False;1;248800
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Trabajo doméstico no remunerado";"GUATUSO";"BUENAVISTA";False;1;248800
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Trabajo doméstico no remunerado";"LOS CHILES";"CAÑO NEGRO";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Trabajo doméstico no remunerado";"PALMARES";"ESQUIPULAS";False;2;1306200
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Trabajo doméstico no remunerado";"PALMARES";"SANTIAGO";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Trabajo doméstico no remunerado";"PALMARES";"ZARAGOZA";False;1;746400
"ALAJUELA";"ADOLESCENTES Y JÓVENES MADRES Y PADRES (-21A)";"Trabajo doméstico no remunerado";"UPALA";"YOYILLAL";False;1;746400
"ALAJUELA";"ALIMENTACION";"Desconocido";"GRECIA";"SAN ISIDRO";False;1;352319
"ALAJUELA";"ALIMENTACION";"Desconocido";"GRECIA";"SAN JOSE";False;1;382471
"ALAJUELA";"ALIMENTACION";"Desconocido";"SAN MATEO";"LABRADOR";False;1;310498
"ALAJUELA";"ALIMENTACION";"Desconocido";"SAN MATEO";"SAN MATEO";False;1;310498
"ALAJUELA";"ALIMENTACION";"Desconocido";"SAN RAMON";"SAN ISIDRO";False;1;296269
"ALAJUELA";"ALIMENTACION";"Desconocido";"ZARCERO";"PALMIRA";False;1;635243,05
"ALAJUELA";"ALIMENTACION";"Desempleo";"GUATUSO";"KATIRA";False;2;1043655
