Condición de Actividad,Rango Edad,Provincia,Canton,Distrito,Recuento de snb003_id_persona
,0-12años Niños,,,,75929
,0-12años Niños,GUANACASTE,ABANGARES,COLORADO,30
,0-12años Niños,GUANACASTE,ABANGARES,LA SIERRA,8
,0-12años Niños,GUANACASTE,ABANGARES,LAS JUNTAS,37
,0-12años Niños,GUANACASTE,ABANGARES,SAN JUAN,8
,0-12años Niños,SAN JOSE,ACOSTA,CANGREJAL,5
,0-12años Niños,SAN JOSE,ACOSTA,GUAITIL,3
,0-12años Niños,SAN JOSE,ACOSTA,PALMICHAL,20
,0-12años Niños,SAN JOSE,ACOSTA,SABANILLAS,3
,0-12años Niños,SAN JOSE,ACOSTA,SAN IGNACIO,48
,0-12años Niños,PUNTARENAS,AGUIRRE,NARANJITO,18
,0-12años Niños,PUNTARENAS,AGUIRRE,QUEPOS,131
,0-12años Niños,PUNTARENAS,AGUIRRE,SAVEGRE,9
,0-12años Niños,ALAJUELA,ALAJUELA,ALAJUELA,210
,0-12años Niños,ALAJUELA,ALAJUELA,CARRIZAL,56
,0-12años Niños,ALAJUELA,ALAJUELA,DESAMPARADOS,290
,0-12años Niños,ALAJUELA,ALAJUELA,GARITA,37
,0-12años Niños,ALAJUELA,ALAJUELA,GUACIMA,210
,0-12años Niños,ALAJUELA,ALAJUELA,RIO SEGUNDO,85
,0-12años Niños,ALAJUELA,ALAJUELA,SABANILLA,51
,0-12años Niños,ALAJUELA,ALAJUELA,SAN ANTONIO,264
,0-12años Niños,ALAJUELA,ALAJUELA,SAN ISIDRO,143
,0-12años Niños,ALAJUELA,ALAJUELA,SAN JOSE,351
,0-12años Niños,ALAJUELA,ALAJUELA,SAN RAFAEL,247
,0-12años Niños,ALAJUELA,ALAJUELA,SARAPIQUI,19
,0-12años Niños,ALAJUELA,ALAJUELA,TAMBOR,128
,0-12años Niños,ALAJUELA,ALAJUELA,TURRUCARES,53
,0-12años Niños,SAN JOSE,ALAJUELITA,ALAJUELITA,111
,0-12años Niños,SAN JOSE,ALAJUELITA,CONCEPCION,157
,0-12años Niños,SAN JOSE,ALAJUELITA,SAN ANTONIO,37
,0-12años Niños,SAN JOSE,ALAJUELITA,SAN FELIPE,302
,0-12años Niños,SAN JOSE,ALAJUELITA,SAN JOSECITO,105
,0-12años Niños,CARTAGO,ALVARADO,CAPELLADES,4
,0-12años Niños,CARTAGO,ALVARADO,CERVANTES,23
,0-12años Niños,CARTAGO,ALVARADO,PACAYAS,15
,0-12años Niños,SAN JOSE,ASERRI,ASERRI,217
,0-12años Niños,SAN JOSE,ASERRI,LA LEGUA,3
,0-12años Niños,SAN JOSE,ASERRI,SALITRILLOS,49
,0-12años Niños,SAN JOSE,ASERRI,SAN GABRIEL,15
,0-12años Niños,SAN JOSE,ASERRI,TARBACA,12
,0-12años Niños,SAN JOSE,ASERRI,VUELTA DE JORCO,22
,0-12años Niños,ALAJUELA,ATENAS,ATENAS,54
,0-12años Niños,ALAJUELA,ATENAS,CONCEPCION,12
,0-12años Niños,ALAJUELA,ATENAS,ESCOBAL,3
,0-12años Niños,ALAJUELA,ATENAS,JESUS,18
,0-12años Niños,ALAJUELA,ATENAS,MERCEDES,28
,0-12años Niños,ALAJUELA,ATENAS,SAN ISIDRO,16
,0-12años Niños,ALAJUELA,ATENAS,SAN JOSE,9
,0-12años Niños,ALAJUELA,ATENAS,SANTA EULALIA,13
,0-12años Niños,GUANACASTE,BAGACES,BAGACES,93
,0-12años Niños,GUANACASTE,BAGACES,FORTUNA,20
,0-12años Niños,GUANACASTE,BAGACES,MOGOTE,23
,0-12años Niños,GUANACASTE,BAGACES,RIO NARANJO,4
,0-12años Niños,HEREDIA,BARVA,BARVA,18
,0-12años Niños,HEREDIA,BARVA,SAN JOSE DE LA MONTAÑA,6
,0-12años Niños,HEREDIA,BARVA,SAN PABLO,22
