Condición de Actividad,Sexo,Provincia,Canton,Distrito,Recuento de snb003_id_persona
,,,,,4
,,ALAJUELA,SAN RAMON,SAN JUAN,1
,,CARTAGO,CARTAGO,CORRALILLO,1
,,GUANACASTE,LIBERIA,CAÑAS DULCES,1
,,HEREDIA,SARAPIQUI,PUERTO VIEJO,2
,,PROVINCIA NO ESPECIFICADA,CANTON NO ESPECIFICADO,DISTRITO NO ESPECIFICADO,5950
,,PUNTARENAS,BUENOS AIRES,BUENOS AIRES,1
,,PUNTARENAS,BUENOS AIRES,COLINAS,2
,,PUNTARENAS,BUENOS AIRES,PILAS,2
,,PUNTARENAS,BUENOS AIRES,POTRERO GRANDE,1
,,PUNTARENAS,BUENOS AIRES,VOLCAN,1
,,PUNTARENAS,CORREDORES,CANOAS,10
,,PUNTARENAS,CORREDORES,CORREDOR,5
,,PUNTARENAS,CORREDORES,LA CUESTA,3
,,PUNTARENAS,CORREDORES,LAUREL,3
,,PUNTARENAS,COTO BRUS,AGUABUENA,1
,,PUNTARENAS,COTO BRUS,PITTIER,1
,,PUNTARENAS,GARABITO,JACO,1
,,PUNTARENAS,OSA,PALMAR,1
,,PUNTARENAS,OSA,PUERTO CORTES,2
,,SAN JOSE,ASERRI,ASERRI,1
,,SAN JOSE,PEREZ ZELEDON,BARU,1
,,SAN JOSE,PEREZ ZELEDON,CAJON,6
,,SAN JOSE,PEREZ ZELEDON,GENERAL,2
,,SAN JOSE,PEREZ ZELEDON,PEJIBAYE,2
,,SAN JOSE,PEREZ ZELEDON,SAN PEDRO,5
,,SAN JOSE,SAN JOSE,ZAPOTE,1
,,SAN JOSE,TARRAZU,SAN LORENZO,1
,,SAN JOSE,VAZQUEZ DE CORONADO,SAN ISIDRO,1
,Desconocido,,,,3
,Desconocido,ALAJUELA,ALAJUELA,ALAJUELA,21
,Desconocido,ALAJUELA,ALAJUELA,CARRIZAL,41
,Desconocido,ALAJUELA,ALAJUELA,DESAMPARADOS,36
,Desconocido,ALAJUELA,ALAJUELA,GARITA,39
,Desconocido,ALAJUELA,ALAJUELA,GUACIMA,22
,Desconocido,ALAJUELA,ALAJUELA,RIO SEGUNDO,91
,Desconocido,ALAJUELA,ALAJUELA,SABANILLA,37
,Desconocido,ALAJUELA,ALAJUELA,SAN ANTONIO,90
,Desconocido,ALAJUELA,ALAJUELA,SAN ISIDRO,77
,Desconocido,ALAJUELA,ALAJUELA,SAN JOSE,82
,Desconocido,ALAJUELA,ALAJUELA,SAN RAFAEL,38
,Desconocido,ALAJUELA,ALAJUELA,SARAPIQUI,30
,Desconocido,ALAJUELA,ALAJUELA,TAMBOR,23
,Desconocido,ALAJUELA,ALAJUELA,TURRUCARES,45
,Desconocido,ALAJUELA,ATENAS,ATENAS,17
,Desconocido,ALAJUELA,ATENAS,CONCEPCION,16
,Desconocido,ALAJUELA,ATENAS,ESCOBAL,3
,Desconocido,ALAJUELA,ATENAS,JESUS,8
,Desconocido,ALAJUELA,ATENAS,MERCEDES,6
,Desconocido,ALAJUELA,ATENAS,SAN ISIDRO,14
,Desconocido,ALAJUELA,ATENAS,SAN JOSE,7
,Desconocido,ALAJUELA,ATENAS,SANTA EULALIA,24
,Desconocido,ALAJUELA,GRECIA,BOLIVAR,27
,Desconocido,ALAJUELA,GRECIA,GRECIA,49
,Desconocido,ALAJUELA,GRECIA,PUENTE DE PIEDRA,24
,Desconocido,ALAJUELA,GRECIA,RIO CUARTO,57
,Desconocido,ALAJUELA,GRECIA,SAN ISIDRO,21
,Desconocido,ALAJUELA,GRECIA,SAN JOSE,26
,Desconocido,ALAJUELA,GRECIA,SAN ROQUE,32
,Desconocido,ALAJUELA,GRECIA,TACARES,26
,Desconocido,ALAJUELA,GUATUSO,BUENAVISTA,4
,Desconocido,ALAJUELA,GUATUSO,COTE,1
,Desconocido,ALAJUELA,GUATUSO,KATIRA,12
,Desconocido,ALAJUELA,GUATUSO,SAN RAFAEL,27
,Desconocido,ALAJUELA,LOS CHILES,CAÑO NEGRO,5
,Desconocido,ALAJUELA,LOS CHILES,EL AMPARO,79
,Desconocido,ALAJUELA,LOS CHILES,LOS CHILES,95
,Desconocido,ALAJUELA,LOS CHILES,SAN JORGE,13
,Desconocido,ALAJUELA,NARANJO,CIRRI SUR,33
,Desconocido,ALAJUELA,NARANJO,NARANJO,121
,Desconocido,ALAJUELA,NARANJO,PALMITOS,29
,Desconocido,ALAJUELA,NARANJO,ROSARIO,27
,Desconocido,ALAJUELA,NARANJO,SAN JERONIMO,31
,Desconocido,ALAJUELA,NARANJO,SAN JOSE,37
,Desconocido,ALAJUELA,NARANJO,SAN JUAN,10
,Desconocido,ALAJUELA,NARANJO,SAN MIGUEL,23
,Desconocido,ALAJUELA,OROTINA,CEIBA,9
,Desconocido,ALAJUELA,OROTINA,COYOLAR,54
,Desconocido,ALAJUELA,OROTINA,HACIENDA VIEJA,4
,Desconocido,ALAJUELA,OROTINA,MASTATE,12
,Desconocido,ALAJUELA,OROTINA,OROTINA,35
,Desconocido,ALAJUELA,PALMARES,BUENOS AIRES,28
,Desconocido,ALAJUELA,PALMARES,CANDELARIA,24
,Desconocido,ALAJUELA,PALMARES,ESQUIPULAS,52
,Desconocido,ALAJUELA,PALMARES,GRANJA,29
,Desconocido,ALAJUELA,PALMARES,PALMARES,8
,Desconocido,ALAJUELA,PALMARES,SANTIAGO,2
,Desconocido,ALAJUELA,PALMARES,ZARAGOZA,56
,Desconocido,ALAJUELA,POAS,CARRILLOS,42
,Desconocido,ALAJUELA,POAS,SABANA REDONDA,36
,Desconocido,ALAJUELA,POAS,SAN JUAN,16
,Desconocido,ALAJUELA,POAS,SAN PEDRO,63
,Desconocido,ALAJUELA,POAS,SAN RAFAEL,34
,Desconocido,ALAJUELA,RIO CUARTO,RIO CUARTO,38
,Desconocido,ALAJUELA,RIO CUARTO,SANTA ISABEL,2
,Desconocido,ALAJUELA,RIO CUARTO,SANTA RITA,10
,Desconocido,ALAJUELA,SAN CARLOS,AGUAS ZARCAS,131
,Desconocido,ALAJUELA,SAN CARLOS,CUTRIS,154
,Desconocido,ALAJUELA,SAN CARLOS,FLORENCIA,133
,Desconocido,ALAJUELA,SAN CARLOS,LA FORTUNA,147
,Desconocido,ALAJUELA,SAN CARLOS,MONTERREY,16
,Desconocido,ALAJUELA,SAN CARLOS,PALMERA,20
,Desconocido,ALAJUELA,SAN CARLOS,PITAL,138
,Desconocido,ALAJUELA,SAN CARLOS,POCOSOL,149
,Desconocido,ALAJUELA,SAN CARLOS,QUESADA,133
,Desconocido,ALAJUELA,SAN CARLOS,TIGRA,46
,Desconocido,ALAJUELA,SAN CARLOS,VENADO,11
,Desconocido,ALAJUELA,SAN CARLOS,VENECIA,86
,Desconocido,ALAJUELA,SAN MATEO,DESMONTE,2
,Desconocido,ALAJUELA,SAN MATEO,JESUS MARIA,7
,Desconocido,ALAJUELA,SAN MATEO,LABRADOR,7
,Desconocido,ALAJUELA,SAN MATEO,SAN MATEO,12
,Desconocido,ALAJUELA,SAN RAMON,ALFARO,50
,Desconocido,ALAJUELA,SAN RAMON,ANGELES,9
,Desconocido,ALAJUELA,SAN RAMON,CONCEPCION,17
,Desconocido,ALAJUELA,SAN RAMON,PEÑAS BLANCAS,87
,Desconocido,ALAJUELA,SAN RAMON,PIEDADES NORTE,39
,Desconocido,ALAJUELA,SAN RAMON,PIEDADES SUR,39
,Desconocido,ALAJUELA,SAN RAMON,SAN ISIDRO,11
,Desconocido,ALAJUELA,SAN RAMON,SAN JUAN,51
,Desconocido,ALAJUELA,SAN RAMON,SAN LORENZO,54
,Desconocido,ALAJUELA,SAN RAMON,SAN RAFAEL,44
,Desconocido,ALAJUELA,SAN RAMON,SAN RAMON,29
,Desconocido,ALAJUELA,SAN RAMON,SANTIAGO,28
,Desconocido,ALAJUELA,SAN RAMON,VOLIO,18
,Desconocido,ALAJUELA,SAN RAMON,ZAPOTAL,1
,Desconocido,ALAJUELA,UPALA,AGUAS CLARAS,21
,Desconocido,ALAJUELA,UPALA,BIJAGUA,13
,Desconocido,ALAJUELA,UPALA,CANALETE,7
,Desconocido,ALAJUELA,UPALA,DELICIAS,54
,Desconocido,ALAJUELA,UPALA,DOS RIOS,12
,Desconocido,ALAJUELA,UPALA,SAN JOSE,32
,Desconocido,ALAJUELA,UPALA,UPALA,60
,Desconocido,ALAJUELA,UPALA,YOYILLAL,3
,Desconocido,ALAJUELA,VALVERDE VEGA,RODRIGUEZ,7
