snb001_estadoFisVivienda,Estado Pobreza,Provincia,Canton,Distrito,Recuento de snb001_id_vivienda
Bueno,No Pobre,GUANACASTE,ABANGARES,COLORADO,409
Malo,No Pobre,GUANACASTE,ABANGARES,COLORADO,34
Regular,No Pobre,GUANACASTE,ABANGARES,COLORADO,139
Bueno,No Pobre,GUANACASTE,ABANGARES,LA SIERRA,318
Malo,No Pobre,GUANACASTE,ABANGARES,LA SIERRA,4
Regular,No Pobre,GUANACASTE,ABANGARES,LA SIERRA,44
Bueno,No Pobre,GUANACASTE,ABANGARES,LAS JUNTAS,1112
Malo,No Pobre,GUANACASTE,ABANGARES,LAS JUNTAS,30
Regular,No Pobre,GUANACASTE,ABANGARES,LAS JUNTAS,191
Bueno,No Pobre,GUANACASTE,ABANGARES,SAN JUAN,138
Malo,No Pobre,GUANACASTE,ABANGARES,SAN JUAN,4
Regular,No Pobre,GUANACASTE,ABANGARES,SAN JUAN,32
Bueno,No Pobre,SAN JOSE,ACOSTA,CANGREJAL,152
Malo,No Pobre,SAN JOSE,ACOSTA,CANGREJAL,7
Regular,No Pobre,SAN JOSE,ACOSTA,CANGREJAL,38
Bueno,No Pobre,SAN JOSE,ACOSTA,GUAITIL,343
Malo,No Pobre,SAN JOSE,ACOSTA,GUAITIL,13
Regular,No Pobre,SAN JOSE,ACOSTA,GUAITIL,52
Bueno,No Pobre,SAN JOSE,ACOSTA,PALMICHAL,718
Malo,No Pobre,SAN JOSE,ACOSTA,PALMICHAL,17
Regular,No Pobre,SAN JOSE,ACOSTA,PALMICHAL,101
Bueno,No Pobre,SAN JOSE,ACOSTA,SABANILLAS,170
Malo,No Pobre,SAN JOSE,ACOSTA,SABANILLAS,10
Regular,No Pobre,SAN JOSE,ACOSTA,SABANILLAS,46
Bueno,No Pobre,SAN JOSE,ACOSTA,SAN IGNACIO,1578
Malo,No Pobre,SAN JOSE,ACOSTA,SAN IGNACIO,34
Regular,No Pobre,SAN JOSE,ACOSTA,SAN IGNACIO,158
Bueno,No Pobre,PUNTARENAS,AGUIRRE,NARANJITO,615
Malo,No Pobre,PUNTARENAS,AGUIRRE,NARANJITO,41
Regular,No Pobre,PUNTARENAS,AGUIRRE,NARANJITO,94
Bueno,No Pobre,PUNTARENAS,AGUIRRE,QUEPOS,2190
Malo,No Pobre,PUNTARENAS,AGUIRRE,QUEPOS,250
Regular,No Pobre,PUNTARENAS,AGUIRRE,QUEPOS,667
Bueno,No Pobre,PUNTARENAS,AGUIRRE,SAVEGRE,363
Malo,No Pobre,PUNTARENAS,AGUIRRE,SAVEGRE,51
Regular,No Pobre,PUNTARENAS,AGUIRRE,SAVEGRE,117
Bueno,No Pobre,ALAJUELA,ALAJUELA,ALAJUELA,5297
Malo,No Pobre,ALAJUELA,ALAJUELA,ALAJUELA,269
Regular,No Pobre,ALAJUELA,ALAJUELA,ALAJUELA,575
Bueno,No Pobre,ALAJUELA,ALAJUELA,CARRIZAL,1268
Malo,No Pobre,ALAJUELA,ALAJUELA,CARRIZAL,33
Regular,No Pobre,ALAJUELA,ALAJUELA,CARRIZAL,133
Bueno,No Pobre,ALAJUELA,ALAJUELA,DESAMPARADOS,2853
Malo,No Pobre,ALAJUELA,ALAJUELA,DESAMPARADOS,173
Regular,No Pobre,ALAJUELA,ALAJUELA,DESAMPARADOS,406
Bueno,No Pobre,ALAJUELA,ALAJUELA,GARITA,958
Malo,No Pobre,ALAJUELA,ALAJUELA,GARITA,26
Regular,No Pobre,ALAJUELA,ALAJUELA,GARITA,107
Bueno,No Pobre,ALAJUELA,ALAJUELA,GUACIMA,2781
Malo,No Pobre,ALAJUELA,ALAJUELA,GUACIMA,137
Regular,No Pobre,ALAJUELA,ALAJUELA,GUACIMA,574
Bueno,No Pobre,ALAJUELA,ALAJUELA,RIO SEGUNDO,1325
Malo,No Pobre,ALAJUELA,ALAJUELA,RIO SEGUNDO,109
Regular,No Pobre,ALAJUELA,ALAJUELA,RIO SEGUNDO,217
Bueno,No Pobre,ALAJUELA,ALAJUELA,SABANILLA,1220
Malo,No Pobre,ALAJUELA,ALAJUELA,SABANILLA,57
Regular,No Pobre,ALAJUELA,ALAJUELA,SABANILLA,169
Bueno,No Pobre,ALAJUELA,ALAJUELA,SAN ANTONIO,2902
Malo,No Pobre,ALAJUELA,ALAJUELA,SAN ANTONIO,112
Regular,No Pobre,ALAJUELA,ALAJUELA,SAN ANTONIO,782
Bueno,No Pobre,ALAJUELA,ALAJUELA,SAN ISIDRO,1884
Malo,No Pobre,ALAJUELA,ALAJUELA,SAN ISIDRO,133
Regular,No Pobre,ALAJUELA,ALAJUELA,SAN ISIDRO,382
Bueno,No Pobre,ALAJUELA,ALAJUELA,SAN JOSE,4502
Malo,No Pobre,ALAJUELA,ALAJUELA,SAN JOSE,226
Regular,No Pobre,ALAJUELA,ALAJUELA,SAN JOSE,780
Bueno,No Pobre,ALAJUELA,ALAJUELA,SAN RAFAEL,2571
Malo,No Pobre,ALAJUELA,ALAJUELA,SAN RAFAEL,88
Regular,No Pobre,ALAJUELA,ALAJUELA,SAN RAFAEL,373
Bueno,No Pobre,ALAJUELA,ALAJUELA,SARAPIQUI,320
Malo,No Pobre,ALAJUELA,ALAJUELA,SARAPIQUI,21
Regular,No Pobre,ALAJUELA,ALAJUELA,SARAPIQUI,80
Bueno,No Pobre,ALAJUELA,ALAJUELA,TAMBOR,1531
Malo,No Pobre,ALAJUELA,ALAJUELA,TAMBOR,106
Regular,No Pobre,ALAJUELA,ALAJUELA,TAMBOR,341
Bueno,No Pobre,ALAJUELA,ALAJUELA,TURRUCARES,936
Malo,No Pobre,ALAJUELA,ALAJUELA,TURRUCARES,24
