snb001_estadoFisVivienda,snb002_decil_pobreza,Provincia,Canton,Distrito,Recuento de snb001_id_vivienda
Bueno,,GUANACASTE,ABANGARES,COLORADO,303
Bueno,1,GUANACASTE,ABANGARES,COLORADO,61
Bueno,10,GUANACASTE,ABANGARES,COLORADO,121
Bueno,2,GUANACASTE,ABANGARES,COLORADO,186
Bueno,3,GUANACASTE,ABANGARES,COLORADO,86
Bueno,4,GUANACASTE,ABANGARES,COLORADO,64
Bueno,5,GUANACASTE,ABANGARES,COLORADO,61
Bueno,6,GUANACASTE,ABANGARES,COLORADO,60
Bueno,7,GUANACASTE,ABANGARES,COLORADO,60
Bueno,8,GUANACASTE,ABANGARES,COLORADO,65
Bueno,9,GUANACASTE,ABANGARES,COLORADO,72
Malo,,GUANACASTE,ABANGARES,COLORADO,29
Malo,1,GUANACASTE,ABANGARES,COLORADO,19
Malo,10,GUANACASTE,ABANGARES,COLORADO,7
Malo,2,GUANACASTE,ABANGARES,COLORADO,59
Malo,3,GUANACASTE,ABANGARES,COLORADO,12
Malo,4,GUANACASTE,ABANGARES,COLORADO,11
Malo,5,GUANACASTE,ABANGARES,COLORADO,11
Malo,6,GUANACASTE,ABANGARES,COLORADO,10
Malo,7,GUANACASTE,ABANGARES,COLORADO,6
Malo,8,GUANACASTE,ABANGARES,COLORADO,3
Malo,9,GUANACASTE,ABANGARES,COLORADO,3
Regular,,GUANACASTE,ABANGARES,COLORADO,101
Regular,1,GUANACASTE,ABANGARES,COLORADO,61
Regular,10,GUANACASTE,ABANGARES,COLORADO,17
Regular,2,GUANACASTE,ABANGARES,COLORADO,162
Regular,3,GUANACASTE,ABANGARES,COLORADO,64
Regular,4,GUANACASTE,ABANGARES,COLORADO,39
Regular,5,GUANACASTE,ABANGARES,COLORADO,35
Regular,6,GUANACASTE,ABANGARES,COLORADO,31
Regular,7,GUANACASTE,ABANGARES,COLORADO,31
Regular,8,GUANACASTE,ABANGARES,COLORADO,25
Regular,9,GUANACASTE,ABANGARES,COLORADO,15
Bueno,,GUANACASTE,ABANGARES,LA SIERRA,124
Bueno,1,GUANACASTE,ABANGARES,LA SIERRA,52
Bueno,10,GUANACASTE,ABANGARES,LA SIERRA,73
Bueno,2,GUANACASTE,ABANGARES,LA SIERRA,145
Bueno,3,GUANACASTE,ABANGARES,LA SIERRA,82
Bueno,4,GUANACASTE,ABANGARES,LA SIERRA,52
Bueno,5,GUANACASTE,ABANGARES,LA SIERRA,58
Bueno,6,GUANACASTE,ABANGARES,LA SIERRA,63
Bueno,7,GUANACASTE,ABANGARES,LA SIERRA,54
Bueno,8,GUANACASTE,ABANGARES,LA SIERRA,54
Bueno,9,GUANACASTE,ABANGARES,LA SIERRA,47
Malo,,GUANACASTE,ABANGARES,LA SIERRA,3
Malo,1,GUANACASTE,ABANGARES,LA SIERRA,6
Malo,2,GUANACASTE,ABANGARES,LA SIERRA,8
Malo,3,GUANACASTE,ABANGARES,LA SIERRA,7
Malo,5,GUANACASTE,ABANGARES,LA SIERRA,3
Malo,6,GUANACASTE,ABANGARES,LA SIERRA,1
Malo,7,GUANACASTE,ABANGARES,LA SIERRA,1
Regular,,GUANACASTE,ABANGARES,LA SIERRA,22
Regular,1,GUANACASTE,ABANGARES,LA SIERRA,29
Regular,10,GUANACASTE,ABANGARES,LA SIERRA,4
Regular,2,GUANACASTE,ABANGARES,LA SIERRA,49
Regular,3,GUANACASTE,ABANGARES,LA SIERRA,20
Regular,4,GUANACASTE,ABANGARES,LA SIERRA,13
Regular,5,GUANACASTE,ABANGARES,LA SIERRA,14
Regular,6,GUANACASTE,ABANGARES,LA SIERRA,9
Regular,7,GUANACASTE,ABANGARES,LA SIERRA,10
Regular,8,GUANACASTE,ABANGARES,LA SIERRA,8
Regular,9,GUANACASTE,ABANGARES,LA SIERRA,2
Bueno,,GUANACASTE,ABANGARES,LAS JUNTAS,565
Bueno,1,GUANACASTE,ABANGARES,LAS JUNTAS,228
Bueno,10,GUANACASTE,ABANGARES,LAS JUNTAS,279
Bueno,2,GUANACASTE,ABANGARES,LAS JUNTAS,480
Bueno,3,GUANACASTE,ABANGARES,LAS JUNTAS,276
Bueno,4,GUANACASTE,ABANGARES,LAS JUNTAS,200
Bueno,5,GUANACASTE,ABANGARES,LAS JUNTAS,172
Bueno,6,GUANACASTE,ABANGARES,LAS JUNTAS,168
Bueno,7,GUANACASTE,ABANGARES,LAS JUNTAS,153
Bueno,8,GUANACASTE,ABANGARES,LAS JUNTAS,177
Bueno,9,GUANACASTE,ABANGARES,LAS JUNTAS,168
Malo,,GUANACASTE,ABANGARES,LAS JUNTAS,50
Malo,1,GUANACASTE,ABANGARES,LAS JUNTAS,49
Malo,10,GUANACASTE,ABANGARES,LAS JUNTAS,3
Malo,2,GUANACASTE,ABANGARES,LAS JUNTAS,73
Malo,3,GUANACASTE,ABANGARES,LAS JUNTAS,38
Malo,4,GUANACASTE,ABANGARES,LAS JUNTAS,17
Malo,5,GUANACASTE,ABANGARES,LAS JUNTAS,14
Malo,6,GUANACASTE,ABANGARES,LAS JUNTAS,7
Malo,7,GUANACASTE,ABANGARES,LAS JUNTAS,6
Malo,8,GUANACASTE,ABANGARES,LAS JUNTAS,6
Malo,9,GUANACASTE,ABANGARES,LAS JUNTAS,4
Regular,,GUANACASTE,ABANGARES,LAS JUNTAS,218
Regular,1,GUANACASTE,ABANGARES,LAS JUNTAS,171
Regular,10,GUANACASTE,ABANGARES,LAS JUNTAS,18
Regular,2,GUANACASTE,ABANGARES,LAS JUNTAS,342
Regular,3,GUANACASTE,ABANGARES,LAS JUNTAS,134
Regular,4,GUANACASTE,ABANGARES,LAS JUNTAS,64
Regular,5,GUANACASTE,ABANGARES,LAS JUNTAS,55
Regular,6,GUANACASTE,ABANGARES,LAS JUNTAS,42
Regular,7,GUANACASTE,ABANGARES,LAS JUNTAS,27
Regular,8,GUANACASTE,ABANGARES,LAS JUNTAS,35
Regular,9,GUANACASTE,ABANGARES,LAS JUNTAS,25
Bueno,,GUANACASTE,ABANGARES,SAN JUAN,105
Bueno,1,GUANACASTE,ABANGARES,SAN JUAN,42
Bueno,10,GUANACASTE,ABANGARES,SAN JUAN,24
